Rank,Account,Extrinsics,Locked (DOT),Balance (DOT)
1,16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9czzBD,0,"36,151,918.6287609875","106,103,159.0567157305"
2,13Z7KjGnzdAdMre9cqRwTZHR6F2p36gqBsaNmQwwosiPz8JT,0,0,"44,893,187.7219103635"
3,12ouvKSvKnXAdXFR5oCL1vXimWrkDWG3joMNw3ETupTRs1ab,0,0,"16,230,000.01"
4,13UVJyLnbVp9RBZYFwFGyDvVd1y27Tt8tkntv6Q7JVPhFsTB,0,0,"15,292,824.0108969758"
5,112RLyVZhjjHMSdKsBA9jz6VLuZAxMh8CTLcXYiddWz5Xui,1,0,"15,271,987.1025973828"
6,16UvKYsqojoivDsNXH3d5G48oXMfo1asxA4NtF2GxhoBjZHz,361,0,"13,054,415.6439301132"
7,11yLs2qzU15AhxnH1d7Koqcf83AwutKkDaGbqsJJ6yDWQjc,0,0,"12,444,272.0504096708"
8,1dz7HBjHWYegSw8YhAzDBszQPv62n96xtR3B7sFhYTe9HY9,3,0,"12,014,686.1347071741"
9,1GVe7pAK2Pc4TVGuPBYbEU82VmaiQhKjFTzECpX7GGXgzBB,0,"11,919,878","11,920,000.011192"
10,15tkQXN8hj28sucMHYcGfMvyxWJqHtcVEDvj5jrNJ1TWSJyX,0,"9,513,885","11,213,157.2975854159"
11,19KT274PAdSchBjDmnxh6vEMdy4QFU9Bo6jgMZhen3esYGG,114,0,"10,468,309.4638560904"
12,15673ZmaxJRTiGam7Ut1FwoVnLURJ9a5sA9CWTbBUbpmkqtz,0,0,"10,137,057.3237568669"
13,12YfMjjeRPVHpytGSgdHH5iWnybxxuBdLuhjSuuYmrPjFT2H,0,"10,000,250","10,000,257.8482846814"
14,13Th6PcjJ468fy2cQeVDDdHE6ycJ3sFQ5S9wHiQRDkCKR6Tz,0,"10,000,026.1145415629","10,000,097.8413794738"
15,13KJ3t8w1CKMkXCmZ6s3VwdWo4h747kXE88ZNh6rCBTvojmM,1,"10,000,000.0001523494","10,000,073.5188819457"
16,13e9cUkCHDWuimeE5hYZRmZfDg3sgscsnAJTpN8buzPxVkd4,0,"10,000,000.0763616664","10,000,035.9477571169"
17,13E7LXW3NGYAJGKugiEitKZ4XjR4MXBs4ZhE1bkwBAaAoBCn,0,"10,000,000.000028672","10,000,023.2771137954"
18,14UpRGUeAfsSZHFN63t4ojJrLNupPApUiLgovXtm7ZiAHUDA,0,"8,679,840","9,301,363.0394394203"
19,13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,0,"9,137,000.6607829548","9,137,250.0938414728"
20,15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,0,"9,136,963.4033624904","9,137,211.1136402109"
21,16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,0,"9,137,000.5625477206","9,137,153.7091877216"
22,14gAowz3LaAqYkRjqUZkjZUxKFUzLtN2oZJSfr3ziHBRhwgc,0,"9,136,900.5233842646","9,137,153.5333842646"
23,13Fv7btqKR2NQVZSaJAK1DhxKpxgjzE8twaWnwDk8B1u6voR,0,"9,136,970.5022039588","9,137,153.5139269588"
24,14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,0,"9,137,000.3936570326","9,137,153.4554540217"
25,15FZotswrG9r6KQvBPb5Y3ybs6CA5FLbFbyzhk4ABfgDup22,0,"9,136,970.3973637849","9,137,153.4075767849"
