Rank,Account,Extrinsics,Locked (ASTR),Balance (ASTR)
1,YDFuxCzn1Quwm8T93CtuATpSpSmBFDHWWux6p7b4dpzHGgA,130,0,"1,819,536,604.9424149204357248"
2,aRXcHQ6TPjWbVUWaJNvhgA755CHdrQmP3HigXozcjpPX5ve,43,"72,000,000","618,940,584.4039022057431216"
3,Yc66s2t62tayFEGg9yyQgi6nDqPk7o4RJCRUbxVD1sZxSVM,0,0,"433,647,815.5281975836206847"
4,agF2sH6wGgig7UesoY5VS1yJJi9MGANeu7EPkk83sjDVgae,0,0,"348,174,196.5001379766903705"
5,YQnbw3oWxBnCUarnbePrjFcrSgVPP2jqTZYzWcccmN8fXhd,0,0,"317,643,611.0389492307430875"
6,ZEyDXf6563rc78ibEtYQAkHTSKLzMES1m2BrPNdLcma57Tg,0,"225,000,000","240,090,885.2483049287997047"
7,a2L4aidH5sFBrD6iadQSY29ssUZ92Qni3v7R2BnkQvB1Rox,0,"205,672,268.515517045201084377","205,672,268.5155170452010844"
8,YYd75rVcVM9TkHLexZ8HkFWhnShfEoLnTVwQ5NW9cggjXfK,0,0,"202,029,606.4691596300510059"
9,WKo2XWs8U22SjqDe9g7grk1NNh6MXhjb3Z9dp3rLv1kVGwy,0,0,"181,848,017.4400093431169753"
10,WeZwe5RkvkVtsL1D1NV7cg9U8f3hYufETv4Kx7GqL9QH74t,510,"163,301,660","169,723,821.3432452146719879"
11,XvXU2FRdupPdJHAsknPsTSdAHzsEi9jtta8XhxCmVPLcgpd,0,"166,920,246","166,920,256.6869695218742694"
12,X6o5LCp4wTegATdhdQuz8tMLgirLyZ3CQzELiuXNyJMbLcs,42,0,"158,789,473.447674668141315"
13,ZiRxcZEn3RYb9dQBYMQaPMosp6iVNbP1YhcGQ9zZ5r694CB,340,0,"138,133,722.9740522851004726"
14,YQnbw3oWxBju7z5CRVoq1K6JzwDaj6DNePwdc2R2fG7jdix,0,"119,539,000","120,729,050.9474081111709723"
15,Z9WmXKeXgumNVwort2K4mXWj5mHaDhpBNeBEfQrUjKYvEgM,156046,0,"113,062,652.8217885901391513"
16,a4qJHNJ57cZiyCAK6KbLT9k8CZk7zFA3BLaWpKR6pHxexjr,0,0,"104,002,440.75"
17,Vwj9isYwHuTasLhWqcqCKNRrQmBUGgR5ZWJJmUepTmVhTf1,0,0,"91,457,085.1882049448115149"
18,Y8RUAVSNgFZx2YCqGCG2Cgi2MprDeqcAQ6PSZd2k8owP6hj,129,"73,900,355","85,984,525.9703188437558991"
19,ZDNbUHETbMYzfVfVC7hNnPiGtehURSGhc9kPAgwMkeubZ3i,0,0,"80,991,770.3649183842262006"
20,XF713iFjaLwTxvVQv3YJdKhFY4EYpcVh6GzAWR7Lj5aoNHZ,0,"78,957,463.264274760782178672","78,957,468.2642747607821787"
21,XbbFQVBumR92MLT8R2WBwju8pHhPifwHf62cWLV4qoNjgtS,4897,0,"66,396,424.1968808655767212"
22,bQdu81B2HXYjZ4UGPcRecnV34rQLGFb68evBX2NSWFdbv8i,19,"63,350,202","63,350,402.3519371330248424"
23,WygVe9gy3adefV7dcY5h2AdHK29G47asTRqeEZvJ652M3ze,0,"60,000,000","61,754,521.3129183999135548"
24,XwsbQhh2u7sw5sFMs9bK6TwJ8kRQhRz2Pj4xmNDzFfge6wQ,121,"53,751,536.326613631920522312","55,313,489.0841260744024095"
25,Y6jbN38BQXxtToT7EjU9XzhmAB4C8EoqX8w5PZPgCEjqRfD,298,0,"54,263,028.8500563150246316"
